GENE	BF
A1BG	-2.067
A1CF	-6.346
A2M	2.158
A2ML1	-14.525
A3GALT2	-8.440
A4GALT	-7.835
A4GNT	-6.474
AAAS	-0.386
AACS	-7.141
AADAC	-12.363
AADACL2	-11.756
AADACL3	-9.937
AADACL4	-8.157
AADAT	-5.519
AAED1	-8.236
AAGAB	-1.559
AAK1	-0.133
AAMDC	-4.182
AAMP	9.215
AANAT	-17.666
AAR2	-5.677
AARD	-4.792
AARS	3.649
AARS2	-3.899
AARSD1	1.113
AASDH	-10.368
AASDHPPT	13.602
AASS	-9.261
AATF	13.070
AATK	-9.095
ABAT	-8.353
ABCA1	-3.326
ABCA10	-4.479
ABCA12	-8.616
ABCA13	-9.159
ABCA2	-8.126
ABCA3	-6.993
ABCA4	-10.468
ABCA5	-14.167
ABCA6	-12.109
ABCA7	-8.411
ABCA8	-10.261
ABCA9	-9.917
ABCB1	-9.387
ABCB10	-6.626
ABCB11	-9.510
ABCB4	-11.929
ABCB5	-10.097
ABCB6	-5.504
ABCB7	7.904
ABCB8	-0.142
ABCB9	-8.481
ABCC1	-6.810
ABCC10	-9.808
ABCC11	-4.570
ABCC12	-8.704
ABCC2	-2.672
ABCC3	-3.003
ABCC4	-14.793
ABCC5	-11.574
ABCC6	14.258
ABCC8	-8.030
ABCC9	-9.354
ABCD1	-2.437
ABCD2	-9.340
ABCD3	-5.390
ABCD4	-9.379
ABCE1	13.184
ABCF1	4.196
ABCF2	-2.711
ABCF3	-10.779
ABCG1	-8.174
ABCG2	-7.881
ABCG4	-7.655
ABCG5	-16.989
ABCG8	-11.989
ABHD1	-5.997
ABHD10	-11.040
ABHD11	-5.109
ABHD12	-10.768
ABHD12B	-12.306
ABHD13	-11.013
ABHD14A	-8.388
ABHD14B	-6.699
ABHD15	-3.780
ABHD16A	-7.219
ABHD16B	-7.138
ABHD17A	-2.857
ABHD17B	-7.845
ABHD17C	-10.710
ABHD2	-13.507
ABHD3	-6.479
ABHD4	-11.096
ABHD5	-12.399
ABHD6	-12.181
ABHD8	-2.211
ABI1	0.599
ABI2	-5.701
ABI3	-7.928
ABI3BP	-7.557
ABL1	-11.930
ABL2	-14.536
ABLIM1	-6.103
ABLIM2	-6.996
ABLIM3	-10.661
ABR	-10.967
ABRA	-9.213
ABRACL	-14.627
ABT1	10.169
ABTB1	-12.306
ABTB2	-8.258
AC007040.11	-6.486
AC007431.1	2.315
AC009892.10	0.913
AC016722.1	-6.675
AC016757.3	-7.181
AC018755.1	-7.566
AC079612.1	-11.214
AC091801.1	-10.422
AC093802.1	-9.730
AC106876.2	-6.654
ACAA1	-18.247
ACAA2	-14.698
ACACA	0.776
ACACB	-6.785
ACAD10	-7.001
ACAD11	-3.777
ACAD8	2.520
ACAD9	-0.027
ACADL	-5.918
ACADM	-2.375
ACADS	-4.301
ACADSB	-10.197
ACADVL	-10.968
ACAN	-15.197
ACAP1	-7.052
ACAP2	-7.132
ACAP3	-7.802
ACAT1	-0.708
ACAT2	-14.608
ACBD3	-12.022
ACBD4	-0.471
ACBD5	-7.648
ACBD6	-4.135
ACBD7	-11.770
ACCS	-1.806
ACCSL	-2.994
ACD	-0.432
ACE	-7.509
ACE2	-11.157
ACER1	-5.140
ACER2	-7.965
ACER3	-4.300
ACHE	0.215
ACIN1	-4.780
ACKR2	-12.251
ACKR3	-7.486
ACKR4	-2.195
ACLY	-0.313
ACMSD	-9.194
ACN9	-6.840
ACO1	-9.361
ACO2	2.473
ACOT11	-5.631
ACOT12	-8.512
ACOT13	-3.054
ACOT2	-6.028
ACOT4	-11.998
ACOT6	-9.449
ACOT7	-13.290
ACOT8	-7.990
ACOT9	-9.525
ACOX1	-11.346
ACOX2	-8.684
ACOX3	-6.885
ACOXL	-4.586
ACP1	-12.381
ACP2	-6.065
ACP5	-5.252
ACP6	-9.882
ACPL2	-15.644
ACPP	-12.137
ACPT	-4.270
ACR	2.623
ACRBP	-6.844
ACRC	-13.914
ACRV1	-10.284
ACSBG1	-10.454
ACSBG2	-4.402
ACSF2	-4.780
ACSF3	-12.219
ACSL1	-4.642
ACSL3	-0.583
ACSL4	-6.769
ACSL5	-3.785
ACSL6	-8.800
ACSM1	-5.075
ACSM2A	0.248
ACSM2B	-12.950
ACSM3	-2.805
ACSM4	-0.780
ACSM5	-11.472
ACSS1	-7.583
ACSS2	-8.149
ACSS3	0.700
ACTA1	-3.385
ACTA2	-12.968
ACTB	2.319
ACTBL2	-12.762
ACTC1	-2.598
ACTG1	3.094
ACTG2	-3.619
ACTL10	-5.858
ACTL6A	10.787
ACTL6B	-3.400
ACTL7A	-8.561
ACTL7B	-9.142
ACTL8	-10.070
ACTL9	-3.884
ACTN1	-3.114
ACTN2	-9.974
ACTN4	-1.551
ACTR10	18.054
ACTR1A	5.468
ACTR1B	0.946
ACTR3	22.192
ACTR3B	-1.488
ACTR3C	-5.404
ACTR5	-1.052
ACTR6	3.024
ACTR8	12.163
ACTRT1	-8.982
ACTRT2	-10.784
ACTRT3	-2.887
ACVR1	-5.310
ACVR1B	-1.260
ACVR1C	-13.417
ACVR2A	-12.637
ACVR2B	-0.514
ACVRL1	-3.021
ACY1	-0.546
ACY3	-3.332
ACYP1	-8.662
ACYP2	-12.808
ADA	-6.504
ADAD1	-11.828
ADAD2	-3.869
ADAL	-1.514
ADAM10	-11.718
ADAM11	-5.143
ADAM12	-8.370
ADAM15	-8.444
ADAM17	-6.336
ADAM18	-13.210
ADAM19	-8.056
ADAM2	-7.669
ADAM20	-14.912
ADAM21	-4.041
ADAM22	-6.005
ADAM23	-12.658
ADAM28	-6.914
ADAM29	-10.681
ADAM30	-8.961
ADAM32	-9.153
ADAM33	3.597
ADAM7	-6.994
ADAM8	2.269
ADAM9	-2.314
ADAMDEC1	-5.186
ADAMTS1	-4.787
ADAMTS10	-16.138
ADAMTS12	-5.511
ADAMTS13	-10.467
ADAMTS14	-4.804
ADAMTS15	-7.143
ADAMTS16	-2.585
ADAMTS17	-9.318
ADAMTS18	-8.430
ADAMTS19	-5.667
ADAMTS2	-4.269
ADAMTS20	-6.520
ADAMTS3	-8.257
ADAMTS4	-7.166
ADAMTS5	-7.921
ADAMTS7	-1.408
ADAMTS8	-6.083
ADAMTS9	-9.849
ADAMTSL1	-11.952
ADAMTSL2	-10.851
ADAMTSL3	-13.488
ADAMTSL4	-8.703
ADAMTSL4-AS1	-1.777
ADAMTSL5	-3.308
ADAP1	-9.522
ADAP2	-6.225
ADAR	-9.610
ADARB1	-11.960
ADARB2	-13.290
ADAT1	-8.690
ADAT2	6.491
ADAT3	7.371
ADC	-1.849
ADCK1	-14.115
ADCK2	-4.687
ADCK3	-8.788
ADCK4	-11.012
ADCK5	-9.444
ADCY1	-6.274
ADCY10	-6.380
ADCY2	-2.982
ADCY3	-11.584
ADCY4	-2.945
ADCY5	-11.668
ADCY6	-5.833
ADCY7	-6.879
ADCY8	-7.832
ADCY9	-6.853
ADCYAP1	-3.157
ADCYAP1R1	-4.526
ADD1	-8.410
ADD2	-7.795
ADD3	-9.163
ADGB	-9.087
ADH1A	-12.012
ADH1B	-9.289
ADH4	-10.661
ADH5	-0.280
ADH6	-11.120
ADH7	-8.428
ADHFE1	-3.704
ADI1	-5.444
ADIG	0.601
ADIPOQ	-8.571
ADIPOR1	-3.256
ADIPOR2	-7.894
ADIRF	-3.311
ADK	-3.937
ADM	-3.816
ADM2	-7.468
ADM5	-1.475
ADNP	-7.301
ADNP2	-2.402
ADO	9.560
ADORA1	-7.561
ADORA2A	-7.527
ADORA2B	-9.207
ADORA3	-15.283
ADPGK	-1.313
ADPRH	-9.928
ADPRHL1	-4.931
ADPRHL2	2.846
ADPRM	-12.835
ADRA1A	-1.829
ADRA1B	-13.973
ADRA1D	1.187
ADRA2A	-4.764
ADRA2B	-9.204
ADRA2C	-9.609
ADRB1	-6.923
ADRB2	-10.759
ADRB3	-14.554
ADRBK1	-16.212
ADRBK2	-11.970
ADRM1	6.309
ADSL	-4.430
ADSS	-6.802
ADSSL1	-2.462
ADTRP	-11.083
AEBP1	-6.751
AEBP2	-5.914
AEN	-3.249
AES	-9.036
AFAP1	-10.030
AFAP1L1	-4.553
AFAP1L2	-6.098
AFF1	-11.046
AFF2	-4.646
AFF3	-10.637
AFF4	-4.986
AFG3L2	9.126
AFM	-12.781
AFMID	-1.873
AFP	-12.995
AFTPH	-9.793
AGA	-12.523
AGAP1	-18.101
AGAP2	7.351
AGAP3	0.403
AGBL1	-15.373
AGBL2	-2.089
AGBL3	-1.894
AGBL4	-4.306
AGBL5	-2.771
AGER	-7.629
AGFG1	-13.107
AGFG2	-10.281
AGGF1	-9.479
AGK	-1.313
AGL	-8.448
AGMAT	2.807
AGMO	-8.813
AGO1	-5.030
AGO2	6.592
AGO3	-9.437
AGO4	-3.816
AGPAT1	-13.979
AGPAT2	-9.740
AGPAT3	-4.302
AGPAT4	-14.909
AGPAT5	-10.336
AGPAT6	-7.698
AGPAT9	-11.866
AGPS	-3.382
AGR2	-3.720
AGR3	-11.240
AGRN	-7.713
AGRP	-0.106
AGT	-5.323
AGTPBP1	-7.849
AGTR1	-8.690
AGTR2	-10.335
AGTRAP	-2.605
AGXT	-9.414
AGXT2	-8.803
AHCTF1	13.973
AHCY	0.305
AHCYL1	-2.744
AHCYL2	-5.647
AHDC1	-11.839
AHI1	-2.409
AHNAK	-9.910
AHNAK2	-11.274
AHR	-28.506
AHRR	-3.869
AHSA1	-8.133
AHSA2	-8.024
AHSG	-5.172
AHSP	-10.754
AICDA	-9.845
AIDA	-2.685
AIF1	-3.888
AIF1L	-11.273
AIFM1	10.040
AIFM2	-2.047
AIFM3	-12.105
AIG1	-8.221
AIM1	-7.174
AIM1L	-2.668
AIM2	-6.736
AIMP1	-9.554
AIMP2	-3.755
AIP	-13.590
AIPL1	-6.918
AIRE	-10.842
AJAP1	-11.425
AJUBA	-14.692
AK1	-6.948
AK2	10.527
AK3	-4.194
AK4	0.013
AK5	-12.504
AK7	-10.761
AK8	-11.182
AK9	-12.867
AKAP1	-2.510
AKAP10	-6.982
AKAP11	-7.649
AKAP12	-8.453
AKAP13	-4.764
AKAP14	-12.668
AKAP2	-3.088
AKAP3	-9.876
AKAP4	-11.407
AKAP5	-2.146
AKAP6	-8.393
AKAP7	-9.364
AKAP8	-8.389
AKAP8L	-8.686
AKAP9	-11.474
AKIP1	-10.992
AKIRIN1	-3.163
AKIRIN2	19.428
AKNA	-4.547
AKNAD1	-5.543
AKR1A1	-2.806
AKR1B1	-3.441
AKR1B10	-8.234
AKR1B15	-5.766
AKR1C2	-6.292
AKR1C3	-10.385
AKR1C4	-4.119
AKR1D1	-8.656
AKR1E2	-10.035
AKR7A2	6.465
AKR7A3	-3.031
AKT1	-5.778
AKT1S1	-4.541
AKT2	-3.884
AKT3	-4.068
AKTIP	-3.745
ALAD	-8.583
ALAS1	-4.586
ALAS2	-13.435
ALB	-4.160
ALCAM	-11.951
ALDH16A1	-3.924
ALDH18A1	-2.285
ALDH1A1	-10.155
ALDH1A2	-8.025
ALDH1A3	-6.809
ALDH1B1	-2.430
ALDH1L1	-3.452
ALDH1L2	-8.895
ALDH2	-4.074
ALDH3A1	-9.704
ALDH3A2	-10.677
ALDH3B2	-3.497
ALDH4A1	-12.542
ALDH5A1	-3.552
ALDH6A1	-3.762
ALDH7A1	-2.786
ALDH8A1	-2.866
ALDH9A1	-10.866
ALDOA	17.863
ALDOB	-6.973
ALDOC	-8.121
ALG1	8.027
ALG10B	2.548
ALG11	5.959
ALG12	-2.872
ALG13	6.225
ALG14	7.685
ALG2	3.687
ALG3	6.535
ALG5	0.858
ALG6	-3.793
ALG8	7.583
ALG9	5.157
ALK	-3.251
ALKBH1	-9.285
ALKBH2	-4.942
ALKBH3	-8.829
ALKBH4	1.845
ALKBH5	-5.576
ALKBH6	-6.085
ALKBH7	-4.153
ALKBH8	-1.020
ALLC	-7.542
ALMS1	-7.349
ALOX12	-6.235
ALOX12B	-6.277
ALOX15	-2.915
ALOX15B	-7.550
ALOX5	-13.848
ALOX5AP	-9.218
ALOXE3	-11.680
ALPI	-10.489
ALPK1	-14.788
ALPK2	-9.868
ALPK3	-6.829
ALPL	-3.269
ALPP	-3.740
ALPPL2	-2.609
ALS2	2.415
ALS2CL	-3.995
ALS2CR11	-12.473
ALS2CR12	2.968
ALX1	-3.986
ALX3	-2.674
ALX4	-2.587
ALYREF	11.007
