Gene	BF	Recall	Precision	FDR
C9orf114	27.682	0.000	1.000	0.000
CCND1	26.605	0.000	1.000	0.000
SNW1	26.396	0.002	1.000	0.000
RPS16	25.726	0.003	1.000	0.000
SKA3	25.330	0.003	1.000	0.000
APEX2	25.070	0.003	1.000	0.000
HIRA	25.059	0.003	1.000	0.000
CCT8	24.960	0.005	1.000	0.000
KNTC1	24.778	0.005	1.000	0.000
CDC6	23.747	0.005	1.000	0.000
ILF2	23.700	0.005	1.000	0.000
TUBGCP5	23.158	0.005	1.000	0.000
POLR2C	23.089	0.006	1.000	0.000
ELP5	22.953	0.006	1.000	0.000
COPA	22.853	0.008	1.000	0.000
ETF1	22.793	0.008	1.000	0.000
INTS3	22.732	0.009	1.000	0.000
DBR1	22.719	0.011	1.000	0.000
SLC35B1	22.705	0.013	1.000	0.000
PHB2	22.677	0.014	1.000	0.000
TARDBP	22.648	0.014	1.000	0.000
RRP1	22.515	0.016	1.000	0.000
MED26	22.272	0.016	1.000	0.000
NLE1	22.254	0.017	1.000	0.000
ACTR3	22.192	0.017	1.000	0.000
EXOSC3	21.982	0.019	1.000	0.000
TPX2	21.971	0.020	1.000	0.000
IPO11	21.961	0.020	1.000	0.000
KPNB1	21.859	0.022	1.000	0.000
NDC1	21.769	0.022	1.000	0.000
NAT10	21.747	0.023	1.000	0.000
NHP2	21.649	0.025	1.000	0.000
RPL38	21.578	0.025	1.000	0.000
RCC1	21.491	0.027	1.000	0.000
PSMC2	21.378	0.028	1.000	0.000
POLR3H	21.352	0.030	1.000	0.000
PTPMT1	21.298	0.030	1.000	0.000
FDXR	21.287	0.030	1.000	0.000
C3orf17	21.258	0.030	1.000	0.000
PNN	21.251	0.030	1.000	0.000
PWP2	21.110	0.031	1.000	0.000
LRR1	20.987	0.033	1.000	0.000
SMC4	20.976	0.034	1.000	0.000
POLR1B	20.965	0.036	1.000	0.000
POLR3K	20.731	0.037	1.000	0.000
RPN1	20.626	0.037	1.000	0.000
TUT1	20.609	0.039	1.000	0.000
BMS1	20.605	0.039	1.000	0.000
POLR2H	20.604	0.041	1.000	0.000
VMP1	20.602	0.041	1.000	0.000
FTSJ3	20.552	0.042	1.000	0.000
ORAOV1	20.483	0.042	1.000	0.000
NUP50	20.446	0.042	1.000	0.000
WDR5	20.353	0.042	1.000	0.000
DUT	20.347	0.042	1.000	0.000
MRTO4	20.333	0.042	1.000	0.000
WWTR1	20.308	0.042	1.000	0.000
MCMBP	20.285	0.042	1.000	0.000
BUB3	20.245	0.044	1.000	0.000
C3orf38	20.170	0.044	1.000	0.000
EXOSC8	20.150	0.045	1.000	0.000
DNAJA3	20.133	0.047	1.000	0.000
LSM7	20.107	0.048	1.000	0.000
MASTL	20.018	0.050	1.000	0.000
AURKA	20.009	0.050	1.000	0.000
SCAP	19.932	0.050	1.000	0.000
PSMC1	19.932	0.050	1.000	0.000
NOL6	19.819	0.052	1.000	0.000
EIF4E	19.707	0.052	1.000	0.000
RIC8A	19.695	0.052	1.000	0.000
U2AF1	19.615	0.053	1.000	0.000
IKBKAP	19.593	0.053	1.000	0.000
SSRP1	19.577	0.053	1.000	0.000
RAD51D	19.572	0.055	1.000	0.000
ARL2	19.554	0.056	1.000	0.000
NUP205	19.502	0.056	1.000	0.000
NCAPG2	19.486	0.056	1.000	0.000
TMEM258	19.476	0.058	1.000	0.000
AKIRIN2	19.428	0.058	1.000	0.000
RBBP4	19.373	0.058	1.000	0.000
GEMIN5	19.293	0.059	1.000	0.000
CDC123	19.125	0.061	1.000	0.000
BRD8	19.103	0.061	1.000	0.000
BANF1	19.093	0.062	1.000	0.000
ERCC2	19.051	0.064	1.000	0.000
PPP6C	18.950	0.064	1.000	0.000
NEDD1	18.940	0.064	1.000	0.000
SRP9	18.929	0.064	1.000	0.000
EIF3B	18.922	0.066	1.000	0.000
THOC2	18.740	0.067	1.000	0.000
C19orf53	18.716	0.067	1.000	0.000
SNUPN	18.651	0.067	1.000	0.000
ARCN1	18.625	0.069	1.000	0.000
PSMD12	18.590	0.070	1.000	0.000
PAFAH1B1	18.586	0.072	1.000	0.000
WEE1	18.570	0.073	1.000	0.000
GARS	18.558	0.073	1.000	0.000
NDUFA13	18.460	0.075	1.000	0.000
NDOR1	18.433	0.075	1.000	0.000
DYNLRB1	18.320	0.075	1.000	0.000
VHL	18.276	0.075	1.000	0.000
ZNF574	18.183	0.077	1.000	0.000
PARN	18.181	0.077	1.000	0.000
PSMB7	18.160	0.078	1.000	0.000
MBTPS2	18.109	0.078	1.000	0.000
PRPF4	18.076	0.080	1.000	0.000
CCDC115	18.071	0.080	1.000	0.000
OTUD4	18.057	0.080	1.000	0.000
ACTR10	18.054	0.081	1.000	0.000
WDR25	18.003	0.083	1.000	0.000
ALDOA	17.863	0.083	1.000	0.000
HSCB	17.814	0.083	1.000	0.000
CIRH1A	17.792	0.083	1.000	0.000
MTOR	17.781	0.083	1.000	0.000
RTCB	17.698	0.084	1.000	0.000
MCM4	17.696	0.086	1.000	0.000
CHAF1B	17.654	0.087	1.000	0.000
MED11	17.650	0.089	1.000	0.000
SF3B3	17.563	0.091	1.000	0.000
ARF4	17.514	0.091	1.000	0.000
CENPM	17.450	0.091	1.000	0.000
TPT1	17.440	0.092	1.000	0.000
PFN1	17.421	0.094	1.000	0.000
STRAP	17.408	0.094	1.000	0.000
UBE2S	17.361	0.094	1.000	0.000
DNAJC17	17.347	0.094	1.000	0.000
PSMA1	17.317	0.095	1.000	0.000
HAUS3	17.291	0.095	1.000	0.000
DIMT1	17.290	0.097	1.000	0.000
SLMO2	17.289	0.097	1.000	0.000
RRP9	17.282	0.097	1.000	0.000
MARS	17.279	0.098	1.000	0.000
BUD31	17.254	0.100	1.000	0.000
POLE2	17.249	0.100	1.000	0.000
RPF2	17.237	0.102	1.000	0.000
NUDC	17.226	0.103	1.000	0.000
PPIL2	17.190	0.105	1.000	0.000
EIF3M	17.125	0.105	1.000	0.000
TXNL4A	17.056	0.106	1.000	0.000
UBTF	17.035	0.108	1.000	0.000
SMNDC1	17.032	0.108	1.000	0.000
ATP6V1B2	17.005	0.108	1.000	0.000
EXOSC7	17.002	0.109	1.000	0.000
LSM3	16.932	0.109	1.000	0.000
TSR1	16.921	0.111	1.000	0.000
ZCCHC9	16.869	0.111	1.000	0.000
WDR18	16.864	0.111	1.000	0.000
HSPA5	16.800	0.111	1.000	0.000
DEXI	16.767	0.111	1.000	0.000
IPO4	16.762	0.111	1.000	0.000
UBA2	16.742	0.111	1.000	0.000
WDHD1	16.719	0.111	1.000	0.000
DDX10	16.700	0.113	1.000	0.000
DHPS	16.695	0.114	1.000	0.000
TEAD1	16.667	0.114	1.000	0.000
SS18L2	16.641	0.116	1.000	0.000
SLC25A28	16.628	0.116	1.000	0.000
TNPO1	16.597	0.116	1.000	0.000
MCM5	16.584	0.117	1.000	0.000
RBM25	16.550	0.117	1.000	0.000
RPL3	16.524	0.119	1.000	0.000
API5	16.484	0.119	1.000	0.000
RBM17	16.482	0.120	1.000	0.000
POLR2F	16.482	0.120	1.000	0.000
ATP5A1	16.458	0.120	1.000	0.000
NUFIP1	16.442	0.120	1.000	0.000
TCEB2	16.426	0.120	1.000	0.000
EIF3G	16.423	0.122	1.000	0.000
HAUS4	16.423	0.122	1.000	0.000
CHERP	16.422	0.123	1.000	0.000
MED14	16.415	0.123	1.000	0.000
HNRNPK	16.402	0.125	1.000	0.000
RCL1	16.392	0.127	1.000	0.000
PDCD11	16.384	0.127	1.000	0.000
EXOSC9	16.353	0.127	1.000	0.000
PPM1D	16.321	0.127	1.000	0.000
SUPT16H	16.319	0.127	1.000	0.000
NCKAP1	16.279	0.127	1.000	0.000
SF3B4	16.264	0.127	1.000	0.000
GTF2H1	16.263	0.128	1.000	0.000
PSMB1	16.245	0.130	1.000	0.000
PPP1CB	16.216	0.130	1.000	0.000
RPS2	16.206	0.131	1.000	0.000
RQCD1	16.190	0.131	1.000	0.000
RPL23	16.158	0.133	1.000	0.000
SKP1	16.151	0.134	1.000	0.000
ATP5O	16.147	0.134	1.000	0.000
NDNL2	16.144	0.134	1.000	0.000
UTP11L	16.127	0.134	1.000	0.000
CCDC84	16.125	0.136	1.000	0.000
CDK1	16.096	0.138	1.000	0.000
ECD	16.080	0.139	1.000	0.000
EEF1A1	16.065	0.139	1.000	0.000
CTU2	16.044	0.139	1.000	0.000
CCT5	16.030	0.141	1.000	0.000
POLR3B	15.993	0.141	1.000	0.000
FNTB	15.988	0.142	1.000	0.000
KIF11	15.986	0.144	1.000	0.000
GSPT1	15.938	0.145	1.000	0.000
PDRG1	15.921	0.145	1.000	0.000
SNRPB	15.910	0.145	1.000	0.000
GTF2A2	15.852	0.145	1.000	0.000
CSTF3	15.848	0.145	1.000	0.000
POLR1A	15.842	0.147	1.000	0.000
ILF3	15.840	0.148	1.000	0.000
KIAA0020	15.835	0.148	1.000	0.000
RPP14	15.792	0.148	1.000	0.000
SNRNP200	15.770	0.150	1.000	0.000
CCT2	15.755	0.152	1.000	0.000
BANP	15.753	0.152	1.000	0.000
TBL3	15.699	0.153	1.000	0.000
TTK	15.697	0.153	1.000	0.000
